起点节点id,起点节点名称,终点节点id,终点节点名称,关系类型,关系权重,关系描述,置信度,强度,开始时间,结束时间
AGRI000006,农林牧渔生产,AGRI000001,农林牧渔行业,SUBORDINATE_TO,1.0,农林牧渔生产是产业链中游核心本体环节，涵盖种植、养殖、渔业、林业等生物资源再生产活动。,0.95,,2026-08-03,
AGRI002001,大田作物种子,AGRI000002,种业与生物技术,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI002003,蔬菜瓜果种子种苗,AGRI000002,种业与生物技术,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI002008,杂交玉米种子,AGRI002001,大田作物种子,SUBORDINATE_TO,1.0,杂交玉米种子是大田作物种子中市场规模最大的细分品类,0.95,,2026-08-03,
AGRI002009,杂交水稻种子,AGRI002001,大田作物种子,SUBORDINATE_TO,1.0,杂交水稻种子是大田作物种子中具有国际竞争力的核心品类,0.95,,2026-08-03,
AGRI003001,氮肥,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003002,磷肥及磷化工,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003003,钾肥,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003004,复合肥与掺混肥,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003005,除草剂,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003006,杀虫剂,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003007,杀菌剂,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003008,生物农药,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003010,农资流通与农技服务,AGRI000003,农化与肥料,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI003011,磷酸一铵,AGRI003002,磷肥及磷化工,SUBORDINATE_TO,1.0,磷酸一铵是磷肥及磷化工二级环节下的核心产品品种,0.93,,2026-08-03,
AGRI003012,磷酸二铵,AGRI003002,磷肥及磷化工,SUBORDINATE_TO,1.0,磷酸二铵是磷肥及磷化工二级环节下的核心产品品种,0.93,,2026-08-03,
AGRI003016,精细磷化工,AGRI003002,磷肥及磷化工,SUBORDINATE_TO,1.0,精细磷化工是磷肥及磷化工二级环节下的高附加值深加工方向,0.91,,2026-08-03,
AGRI004001,配合饲料,AGRI000004,饲料工业,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI004003,饲料添加剂,AGRI000004,饲料工业,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI004004,宠物食品,AGRI000004,饲料工业,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI004006,猪用配合饲料,AGRI004001,配合饲料,SUBORDINATE_TO,1.0,配合饲料包含猪用配合饲料,0.94,,2026-08-03,
AGRI004007,禽用配合饲料,AGRI004001,配合饲料,SUBORDINATE_TO,1.0,配合饲料包含禽用配合饲料,0.93,,2026-08-03,
AGRI004008,水产配合饲料,AGRI004001,配合饲料,SUBORDINATE_TO,1.0,配合饲料包含水产配合饲料,0.92,,2026-08-03,
AGRI004012,饲用氨基酸,AGRI004003,饲料添加剂,SUBORDINATE_TO,1.0,饲料添加剂包含饲用氨基酸,0.93,,2026-08-03,
AGRI004013,饲用维生素,AGRI004003,饲料添加剂,SUBORDINATE_TO,1.0,饲料添加剂包含饲用维生素,0.92,,2026-08-03,
AGRI004015,饲用微生态制剂,AGRI004003,饲料添加剂,SUBORDINATE_TO,1.0,饲料添加剂包含饲用微生态制剂,0.89,,2026-08-03,
AGRI005001,兽用疫苗,AGRI000005,动物保健与兽药,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI005002,兽用化学药品制剂,AGRI000005,动物保健与兽药,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI006001,粮食作物种植,AGRI000006,农林牧渔生产,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI006002,经济作物种植,AGRI000006,农林牧渔生产,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI006003,家畜养殖,AGRI000006,农林牧渔生产,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI006004,家禽养殖,AGRI000006,农林牧渔生产,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI006005,水产养殖,AGRI000006,农林牧渔生产,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI006006,林业生产,AGRI000006,农林牧渔生产,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI006011,白羽肉鸡养殖,AGRI006004,家禽养殖,SUBORDINATE_TO,1.0,家禽养殖包含白羽肉鸡养殖,0.95,,2026-08-03,
AGRI006012,黄羽肉鸡养殖,AGRI006004,家禽养殖,SUBORDINATE_TO,1.0,家禽养殖包含黄羽肉鸡养殖,0.95,,2026-08-03,
AGRI006013,淡水水产养殖,AGRI006005,水产养殖,SUBORDINATE_TO,1.0,水产养殖包含淡水水产养殖,0.95,,2026-08-03,
AGRI006014,海水水产养殖,AGRI006005,水产养殖,SUBORDINATE_TO,1.0,水产养殖包含海水水产养殖,0.95,,2026-08-03,
AGRI007001,粮食加工,AGRI000007,农产品加工,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI007002,植物油加工,AGRI000007,农产品加工,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI007003,淀粉及深加工,AGRI000007,农产品加工,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI007004,屠宰与肉类分割,AGRI000007,农产品加工,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI007005,肉制品与预制菜加工,AGRI000007,农产品加工,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
