起点节点id,起点节点名称,终点节点id,终点节点名称,关系类型,关系权重,关系描述
TRANSPORTATION000001,航空运输,TRANSPORTATION000000,交通运输行业,SUBORDINATE_TO,1.0,交通运输行业包含航空运输核心运营赛道
TRANSPORTATION000003,航运,TRANSPORTATION000000,交通运输行业,SUBORDINATE_TO,1.0,交通运输行业包含航运核心运营赛道
TRANSPORTATION000005,铁路与轨道交通,TRANSPORTATION000000,交通运输行业,SUBORDINATE_TO,1.0,交通运输行业包含铁路与轨道交通核心运营赛道
TRANSPORTATION000006,公路运营与城市交通,TRANSPORTATION000000,交通运输行业,SUBORDINATE_TO,1.0,交通运输行业包含公路运营与城市交通核心运营赛道
transportation_001_001,航空客运,TRANSPORTATION000001,航空运输,SUBORDINATE_TO,1.0,
transportation_001_002,航空货运,TRANSPORTATION000001,航空运输,SUBORDINATE_TO,1.0,
transportation_001_003,通用与低空运营,TRANSPORTATION000001,航空运输,SUBORDINATE_TO,1.0,
transportation_001_004,航空维修(MRO),TRANSPORTATION000001,航空运输,SUBORDINATE_TO,1.0,
transportation_001_005,航空租赁,TRANSPORTATION000001,航空运输,SUBORDINATE_TO,1.0,
transportation_001_006,全服务客运航空,transportation_001_001,航空客运,SUBORDINATE_TO,1.0,航空客运包含全服务客运航空模式
transportation_001_007,低成本航空,transportation_001_001,航空客运,SUBORDINATE_TO,1.0,航空客运包含低成本航空模式
transportation_001_008,航空全货机运输,transportation_001_002,航空货运,SUBORDINATE_TO,1.0,航空货运包含全货机运输细分
transportation_001_009,公务航空运营,transportation_001_003,通用与低空运营,SUBORDINATE_TO,1.0,通用与低空运营包含公务航空运营
transportation_001_010,低空经济与无人机运营,transportation_001_003,通用与低空运营,SUBORDINATE_TO,1.0,通用与低空运营包含低空经济与无人机运营
transportation_001_011,航线维修,transportation_001_004,航空维修(MRO),SUBORDINATE_TO,1.0,航空维修包含航线维修环节
transportation_001_012,机体与发动机大修,transportation_001_004,航空维修(MRO),SUBORDINATE_TO,1.0,航空维修包含机体与发动机大修环节
transportation_001_013,飞机经营租赁,transportation_001_005,航空租赁,SUBORDINATE_TO,1.0,航空租赁包含飞机经营租赁模式
transportation_001_014,航空发动机维修,transportation_001_012,机体与发动机大修,SUBORDINATE_TO,1.0,机体与发动机大修下钻包含航空发动机维修核心赛道
transportation_001_015,窄体机经营租赁,transportation_001_013,飞机经营租赁,SUBORDINATE_TO,1.0,飞机经营租赁按机型包含窄体机经营租赁
transportation_001_016,宽体机经营租赁,transportation_001_013,飞机经营租赁,SUBORDINATE_TO,1.0,飞机经营租赁按机型包含宽体机经营租赁
transportation_002_001,机场基础设施运营,TRANSPORTATION000002,机场服务,SUBORDINATE_TO,1.0,机场服务包含机场基础设施运营
transportation_002_002,航空性业务,TRANSPORTATION000002,机场服务,SUBORDINATE_TO,1.0,机场服务包含航空性业务
transportation_002_003,非航空性业务,TRANSPORTATION000002,机场服务,SUBORDINATE_TO,1.0,机场服务包含非航空性业务
transportation_002_004,航空货运与货站服务,TRANSPORTATION000002,机场服务,SUBORDINATE_TO,1.0,机场服务包含航空货运与货站服务
transportation_002_005,地面服务与地勤,TRANSPORTATION000002,机场服务,SUBORDINATE_TO,1.0,机场服务包含地面服务与地勤
transportation_002_006,国际枢纽机场,transportation_002_001,机场基础设施运营,SUBORDINATE_TO,1.0,机场基础设施运营包含国际枢纽机场
transportation_002_007,区域干线机场,transportation_002_001,机场基础设施运营,SUBORDINATE_TO,1.0,机场基础设施运营包含区域干线机场
transportation_002_008,支线机场,transportation_002_001,机场基础设施运营,SUBORDINATE_TO,1.0,机场基础设施运营包含支线机场
transportation_002_009,航班起降服务,transportation_002_002,航空性业务,SUBORDINATE_TO,1.0,航空性业务包含航班起降服务
transportation_002_010,旅客与安检服务,transportation_002_002,航空性业务,SUBORDINATE_TO,1.0,航空性业务包含旅客与安检服务
transportation_002_011,机场免税业务,transportation_002_003,非航空性业务,SUBORDINATE_TO,1.0,非航空性业务包含机场免税业务
transportation_002_012,机场商业零售,transportation_002_003,非航空性业务,SUBORDINATE_TO,1.0,非航空性业务包含机场商业零售
