节点id,节点类型,节点名称,节点标签,节点行业,业务描述,公司列表,关键节点,产业链环节,节点行业code,生效时间,失效时间
FOOD000000,产业链,食品饮料行业,level_0,食品饮料,涵盖酒类、饮料、调味品、休闲食品、预制食品等品类的制造及直接上游原料供给和下游销售渠道。,,TRUE,,FOOD,2026-07-28,
FOOD000001,产业链,酒类制造,level_1,食品饮料,以粮食等为原料，通过发酵、蒸馏、陈酿、勾调等工艺生产含酒精饮品，具备强品牌壁垒与社交消费属性。,,TRUE,中游,FOOD,2026-07-28,
FOOD000002,产业链,乳品与非酒精饮料制造,level_1,食品饮料,涵盖液态奶、奶粉、奶酪等乳品，以及包装水、茶饮、果汁、植物蛋白饮料和功能饮料等非酒精饮品，具有高频快消和多元消费场景属性。,,TRUE,中游,FOOD,2026-07-28,
FOOD000003,产业链,调味发酵品制造,level_1,食品饮料,厨房刚需品类，具备高复购率与强渠道粘性，B端餐饮定制与C端家庭消费双轮驱动。,,TRUE,中游,FOOD,2026-07-28,
FOOD000004,产业链,休闲食品与烘焙制造,level_1,食品饮料,迎合年轻化与碎片化消费趋势，产品迭代快，高度依赖品牌营销与多元化零售渠道触达。,,TRUE,中游,FOOD,2026-07-28,
FOOD000005,产业链,肉制品与预制便捷食品制造,level_1,食品饮料,涵盖肉制品、速冻食品、预制菜和方便食品等深加工品类，连接初级农产品与终端餐桌，并服务家庭便捷消费和餐饮标准化供给。,,TRUE,中游,FOOD,2026-07-28,
FOOD000006,产业链,食品原料、辅料与包材供应链,level_1,食品饮料,涵盖农产品原料、食品添加剂等辅料及纸、塑料、金属、玻璃等核心包材，是决定中游制造成本、品质和供应稳定性的关键上游。,,TRUE,上游,FOOD,2026-07-28,
FOOD000007,产业链,食品饮料流通与消费渠道,level_1,食品饮料,涵盖经销批发、商超便利、电商零售、餐饮及团餐等B端与C端消费渠道，是产品实现价值变现并反馈终端需求的关键下游。,,TRUE,下游,FOOD,2026-07-28,
FOOD001001,产业链,白酒,level_2,食品饮料,以粮谷为主要原料，经制曲、发酵、蒸馏、陈酿和勾调形成的蒸馏酒。,,FALSE,,FOOD,2026-07-28,
FOOD001002,产业链,啤酒,level_2,食品饮料,以麦芽、啤酒花和水等为原料，经糖化、发酵、过滤和灌装形成的发酵酒。,,FALSE,,FOOD,2026-07-28,
FOOD001007,产业链,葡萄酒,level_2,食品饮料,以葡萄为原料，经发酵、陈酿和灌装形成的酒类产品。,,FALSE,,FOOD,2026-07-28,
FOOD001008,产业链,黄酒,level_2,食品饮料,以谷物为原料，经糖化发酵和陈酿形成的传统酿造酒。,,FALSE,,FOOD,2026-07-28,
FOOD001009,产业链,预调酒,level_2,食品饮料,以酒基和风味饮料调配形成的低度酒精饮品。,,FALSE,,FOOD,2026-07-28,
FOOD002001,产业链,包装饮用水,level_2,食品饮料,瓶装水、桶装水和饮用天然水等产品。,,FALSE,,FOOD,2026-07-28,
FOOD002002,产业链,碳酸饮料,level_2,食品饮料,含二氧化碳的甜味饮料。,,FALSE,,FOOD,2026-07-28,
FOOD002003,产业链,茶饮料,level_2,食品饮料,即饮茶、无糖茶和茶浓缩液相关饮品。,,FALSE,,FOOD,2026-07-28,
FOOD002005,产业链,果汁与果蔬饮料,level_2,食品饮料,果汁、果味饮料和果蔬复合饮料。,,FALSE,,FOOD,2026-07-28,
FOOD002007,产业链,功能饮料,level_2,食品饮料,能量饮料、电解质水和运动饮料。,,FALSE,,FOOD,2026-07-28,
FOOD002009,产业链,植物蛋白饮料,level_2,食品饮料,豆奶、椰汁、杏仁露等植物蛋白饮品。,,FALSE,,FOOD,2026-07-28,
FOOD002011,产业链,含乳饮料,level_2,食品饮料,乳酸菌饮品、调制乳饮料和复合蛋白饮品。,,FALSE,,FOOD,2026-07-28,
FOOD002012,产业链,乳制品制造,level_2,食品饮料,液态奶、发酵乳、奶粉、奶酪和黄油等乳制品生产。,,FALSE,,FOOD,2026-07-28,
FOOD002013,产业链,常温液态奶,level_3,食品饮料,UHT灭菌奶和常温调制乳。,,FALSE,,FOOD,2026-07-28,
FOOD002015,产业链,低温乳制品,level_3,食品饮料,巴氏奶、酸奶和低温发酵乳。,,FALSE,,FOOD,2026-07-28,
FOOD002016,产业链,奶粉与干乳制品,level_3,食品饮料,婴配粉、成人奶粉和乳清粉等干乳制品。,,FALSE,,FOOD,2026-07-28,
FOOD003001,产业链,发酵调味品,level_2,食品饮料,酱油、醋、豆酱等发酵型调味食品。,,FALSE,,FOOD,2026-07-28,
FOOD003002,产业链,复合调味料,level_2,食品饮料,火锅底料、复合调味酱和中式复调产品。,,FALSE,,FOOD,2026-07-28,
FOOD003003,产业链,酱油,level_3,食品饮料,以大豆或脱脂大豆、小麦等为原料酿造的基础调味品。,,FALSE,,FOOD,2026-07-28,
