起点节点id,起点节点名称,终点节点id,终点节点名称,关系类型,关系权重,关系描述,置信度,强度,开始时间,结束时间
FOOD000001,酒类制造,FOOD000000,食品饮料行业,SUBORDINATE_TO,1.0,食品饮料行业包含酒类制造这一核心中游品类板块。,0.95,,2026-07-28,
FOOD000002,乳品与非酒精饮料制造,FOOD000000,食品饮料行业,SUBORDINATE_TO,1.0,食品饮料行业包含乳品与非酒精饮料制造这一核心中游品类板块。,0.95,,2026-07-28,
FOOD000003,调味发酵品制造,FOOD000000,食品饮料行业,SUBORDINATE_TO,1.0,食品饮料行业包含调味发酵品制造这一核心中游品类板块。,0.95,,2026-07-28,
FOOD000004,休闲食品与烘焙制造,FOOD000000,食品饮料行业,SUBORDINATE_TO,1.0,食品饮料行业包含休闲食品与烘焙制造这一核心中游品类板块。,0.95,,2026-07-28,
FOOD000005,肉制品与预制便捷食品制造,FOOD000000,食品饮料行业,SUBORDINATE_TO,1.0,食品饮料行业包含肉制品与预制便捷食品制造这一核心中游品类板块。,0.95,,2026-07-28,
FOOD001001,白酒,FOOD000001,酒类制造,SUBORDINATE_TO,1.0,白酒隶属于上级分类。,0.86,,2026-07-28,
FOOD001002,啤酒,FOOD000001,酒类制造,SUBORDINATE_TO,1.0,啤酒隶属于上级分类。,0.86,,2026-07-28,
FOOD001007,葡萄酒,FOOD000001,酒类制造,SUBORDINATE_TO,1.0,葡萄酒隶属于上级分类。,0.86,,2026-07-28,
FOOD001008,黄酒,FOOD000001,酒类制造,SUBORDINATE_TO,1.0,黄酒隶属于上级分类。,0.86,,2026-07-28,
FOOD001009,预调酒,FOOD000001,酒类制造,SUBORDINATE_TO,1.0,预调酒隶属于上级分类。,0.86,,2026-07-28,
FOOD002001,包装饮用水,FOOD000002,乳品与非酒精饮料制造,SUBORDINATE_TO,1.0,包装饮用水隶属于上级分类。,0.86,,2026-07-28,
FOOD002002,碳酸饮料,FOOD000002,乳品与非酒精饮料制造,SUBORDINATE_TO,1.0,碳酸饮料隶属于上级分类。,0.86,,2026-07-28,
FOOD002003,茶饮料,FOOD000002,乳品与非酒精饮料制造,SUBORDINATE_TO,1.0,茶饮料隶属于上级分类。,0.86,,2026-07-28,
FOOD002005,果汁与果蔬饮料,FOOD000002,乳品与非酒精饮料制造,SUBORDINATE_TO,1.0,果汁与果蔬饮料隶属于上级分类。,0.86,,2026-07-28,
FOOD002007,功能饮料,FOOD000002,乳品与非酒精饮料制造,SUBORDINATE_TO,1.0,功能饮料隶属于上级分类。,0.86,,2026-07-28,
FOOD002009,植物蛋白饮料,FOOD000002,乳品与非酒精饮料制造,SUBORDINATE_TO,1.0,植物蛋白饮料隶属于上级分类。,0.86,,2026-07-28,
FOOD002011,含乳饮料,FOOD000002,乳品与非酒精饮料制造,SUBORDINATE_TO,1.0,含乳饮料隶属于上级分类。,0.86,,2026-07-28,
FOOD002012,乳制品制造,FOOD000002,乳品与非酒精饮料制造,SUBORDINATE_TO,1.0,乳制品制造隶属于上级分类。,0.86,,2026-07-28,
FOOD002013,常温液态奶,FOOD002012,乳制品制造,SUBORDINATE_TO,1.0,常温液态奶隶属于上级分类。,0.86,,2026-07-28,
FOOD002015,低温乳制品,FOOD002012,乳制品制造,SUBORDINATE_TO,1.0,低温乳制品隶属于上级分类。,0.86,,2026-07-28,
FOOD002016,奶粉与干乳制品,FOOD002012,乳制品制造,SUBORDINATE_TO,1.0,奶粉与干乳制品隶属于上级分类。,0.86,,2026-07-28,
FOOD003001,发酵调味品,FOOD000003,调味发酵品制造,SUBORDINATE_TO,1.0,发酵调味品隶属于上级分类。,0.86,,2026-07-28,
FOOD003002,复合调味料,FOOD000003,调味发酵品制造,SUBORDINATE_TO,1.0,复合调味料隶属于上级分类。,0.86,,2026-07-28,
FOOD003011,基础调味品,FOOD000003,调味发酵品制造,SUBORDINATE_TO,1.0,基础调味品隶属于上级分类。,0.86,,2026-07-28,
FOOD003003,酱油,FOOD003001,发酵调味品,SUBORDINATE_TO,1.0,酱油隶属于上级分类。,0.86,,2026-07-28,
FOOD003004,食醋,FOOD003001,发酵调味品,SUBORDINATE_TO,1.0,食醋隶属于上级分类。,0.86,,2026-07-28,
FOOD003005,豆瓣酱与腐乳,FOOD003001,发酵调味品,SUBORDINATE_TO,1.0,豆瓣酱与腐乳隶属于上级分类。,0.86,,2026-07-28,
FOOD003007,中式复合调味料,FOOD003002,复合调味料,SUBORDINATE_TO,1.0,中式复合调味料隶属于上级分类。,0.86,,2026-07-28,
FOOD003010,餐饮定制调味料,FOOD003002,复合调味料,SUBORDINATE_TO,1.0,餐饮定制调味料隶属于上级分类。,0.86,,2026-07-28,
FOOD004001,休闲食品制造,FOOD000004,休闲食品与烘焙制造,SUBORDINATE_TO,1.0,休闲食品制造隶属于上级分类。,0.86,,2026-07-28,
FOOD004004,烘焙食品制造,FOOD000004,休闲食品与烘焙制造,SUBORDINATE_TO,1.0,烘焙食品制造隶属于上级分类。,0.86,,2026-07-28,
FOOD004002,坚果炒货,FOOD004001,休闲食品制造,SUBORDINATE_TO,1.0,坚果炒货隶属于上级分类。,0.86,,2026-07-28,
FOOD004003,卤味与肉类零食,FOOD004001,休闲食品制造,SUBORDINATE_TO,1.0,卤味与肉类零食隶属于上级分类。,0.86,,2026-07-28,
FOOD004007,糖果巧克力,FOOD004001,休闲食品制造,SUBORDINATE_TO,1.0,糖果巧克力隶属于上级分类。,0.86,,2026-07-28,
FOOD004009,蜜饯果冻,FOOD004001,休闲食品制造,SUBORDINATE_TO,1.0,蜜饯果冻隶属于上级分类。,0.86,,2026-07-28,
FOOD004010,饼干,FOOD004001,休闲食品制造,SUBORDINATE_TO,1.0,饼干隶属于上级分类。,0.86,,2026-07-28,
FOOD004005,短保烘焙,FOOD004004,烘焙食品制造,SUBORDINATE_TO,1.0,短保烘焙隶属于上级分类。,0.86,,2026-07-28,
FOOD004006,中长保烘焙,FOOD004004,烘焙食品制造,SUBORDINATE_TO,1.0,中长保烘焙隶属于上级分类。,0.86,,2026-07-28,
FOOD005001,速冻食品制造,FOOD000005,肉制品与预制便捷食品制造,SUBORDINATE_TO,1.0,速冻食品制造隶属于上级分类。,0.86,,2026-07-28,
FOOD005005,肉制品加工,FOOD000005,肉制品与预制便捷食品制造,SUBORDINATE_TO,1.0,肉制品加工隶属于上级分类。,0.86,,2026-07-28,
FOOD005007,方便食品制造,FOOD000005,肉制品与预制便捷食品制造,SUBORDINATE_TO,1.0,方便食品制造隶属于上级分类。,0.86,,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD000005,肉制品与预制便捷食品制造,SUBORDINATE_TO,1.0,预制菜与餐食加工隶属于上级分类。,0.86,,2026-07-28,
FOOD005011,保健食品制造,FOOD000005,肉制品与预制便捷食品制造,SUBORDINATE_TO,1.0,保健食品制造隶属于上级分类。,0.86,,2026-07-28,
FOOD005002,速冻米面食品,FOOD005001,速冻食品制造,SUBORDINATE_TO,1.0,速冻米面食品隶属于上级分类。,0.86,,2026-07-28,
FOOD005004,速冻火锅料,FOOD005001,速冻食品制造,SUBORDINATE_TO,1.0,速冻火锅料隶属于上级分类。,0.86,,2026-07-28,
FOOD005006,熟肉制品加工,FOOD005005,肉制品加工,SUBORDINATE_TO,1.0,熟肉制品加工隶属于上级分类。,0.86,,2026-07-28,
FOOD005012,高温肉制品,FOOD005005,肉制品加工,SUBORDINATE_TO,1.0,高温肉制品隶属于上级分类。,0.86,,2026-07-28,
FOOD005009,净菜产品,FOOD005008,预制菜与餐食加工,SUBORDINATE_TO,1.0,净菜产品隶属于上级分类。,0.86,,2026-07-28,
FOOD005010,料理包与半成品菜,FOOD005008,预制菜与餐食加工,SUBORDINATE_TO,1.0,料理包与半成品菜隶属于上级分类。,0.86,,2026-07-28,
FOOD006001,农产品原料,FOOD000006,食品原料、辅料与包材供应链,SUBORDINATE_TO,1.0,农产品原料隶属于上级分类。,0.86,,2026-07-28,
FOOD006017,食品添加剂与配料,FOOD000006,食品原料、辅料与包材供应链,SUBORDINATE_TO,1.0,食品添加剂与配料隶属于上级分类。,0.86,,2026-07-28,
FOOD006028,包装材料,FOOD000006,食品原料、辅料与包材供应链,SUBORDINATE_TO,1.0,包装材料隶属于上级分类。,0.86,,2026-07-28,
FOOD006002,粮食作物,FOOD006001,农产品原料,SUBORDINATE_TO,1.0,粮食作物隶属于上级分类。,0.86,,2026-07-28,
FOOD006005,油料作物,FOOD006001,农产品原料,SUBORDINATE_TO,1.0,油料作物隶属于上级分类。,0.86,,2026-07-28,
FOOD006007,糖料作物,FOOD006001,农产品原料,SUBORDINATE_TO,1.0,糖料作物隶属于上级分类。,0.86,,2026-07-28,
