节点id,节点类型,节点名称,节点标签,节点行业,业务描述,关键节点,产业链环节
TRANSPORTATION000000,产业链,交通运输行业,level_0,交通运输行业,以各类运输基础设施和运载工具为依托，为人员和货物的空间位移提供运输、中转、仓储、配送及供应链组织服务的行业集合。,true,root
TRANSPORTATION000001,一级环节,航空运输,level_1,交通运输行业,依托航空器及航线网络，提供旅客与货物空间位移服务的核心运营赛道，包含全服务航司、低成本航司、航空货运及通用航空等。,true,核心运输运营
TRANSPORTATION000002,一级环节,机场服务,level_1,交通运输行业,为航空运输提供起降、停场、旅客吞吐及商业配套等基础设施与地勤服务的赛道，是航空运输网络的核心物理节点。,true,交通基础设施
TRANSPORTATION000003,一级环节,航运,level_1,交通运输行业,利用船舶在海洋及内河提供大宗货物与集装箱运输服务的赛道，涵盖集运、干散货、油轮及特种船运输等。,true,核心运输运营
TRANSPORTATION000004,一级环节,港口,level_1,交通运输行业,提供船舶停靠、货物装卸、堆存及保税物流等水运基础设施服务的赛道，是航运产业链的核心枢纽与集疏运节点。,true,交通基础设施
TRANSPORTATION000005,一级环节,铁路与轨道交通,level_1,交通运输行业,依托铁路轨道网络提供大宗物资货运、高铁与普速客运，以及城市地铁、轻轨等公共交通运营服务的赛道。,true,核心运输运营
TRANSPORTATION000006,一级环节,公路运营与城市交通,level_1,交通运输行业,涵盖高速公路投资运营、道路客货运、城市公交、出租车及网约车、共享出行等依托公路网络开展的运输与出行服务赛道。,true,核心运输运营
TRANSPORTATION000007,一级环节,快递与即时配送,level_1,交通运输行业,面向电商与本地生活需求，提供标准化小件包裹门到门寄递、同城即时配送及末端网络服务的规模化物流赛道。,true,终端物流与配送
TRANSPORTATION000008,一级环节,综合物流与供应链,level_1,交通运输行业,提供国际货代、合同物流、跨境供应链、大宗商品供应链及专业仓储等定制化、一体化供应链组织与交付服务的赛道。,true,终端物流与供应链
transportation_001_001,二级环节,航空客运,level_2,交通运输行业,以大型或支线客机为载体，为旅客提供国内及国际定期与不定期航班运输服务。,true,客运服务
transportation_001_002,二级环节,航空货运,level_2,交通运输行业,利用全货机或客机腹舱，为高附加值、时效性强的货物提供空中位移服务。,true,货运服务
transportation_001_003,二级环节,通用与低空运营,level_2,交通运输行业,涵盖除公共航空运输外的各类民用航空飞行活动，包括公务机、农林作业及新兴的低空无人机运营。,true,通用与低空
